model,scenario,region,variable,unit,method
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|NOx|Solvents Production and Application,Mt NO2/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|NOx|Transportation Sector,Mt NO2/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|NOx|Waste,Mt NO2/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|OC|Agricultural Waste Burning,Mt OC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|OC|Agriculture,Mt OC/yr,model_zero
REMIND-MAgPIE 3.5-4.11,all,World,Emissions|OC|Aircraft,Mt OC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|OC|Energy Sector,Mt OC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|OC|Forest Burning,Mt OC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|OC|Grassland Burning,Mt OC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|OC|Industrial Sector,Mt OC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,World,Emissions|OC|International Shipping,Mt OC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|OC|Peat Burning,Mt OC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|OC|Residential Commercial Other,Mt OC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|OC|Solvents Production and Application,Mt OC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|OC|Transportation Sector,Mt OC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|OC|Waste,Mt OC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|Sulfur|Agricultural Waste Burning,Mt SO2/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|Sulfur|Agriculture,Mt SO2/yr,model_zero
REMIND-MAgPIE 3.5-4.11,all,World,Emissions|Sulfur|Aircraft,Mt SO2/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|Sulfur|Energy Sector,Mt SO2/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|Sulfur|Forest Burning,Mt SO2/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|Sulfur|Grassland Burning,Mt SO2/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|Sulfur|Industrial Sector,Mt SO2/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,World,Emissions|Sulfur|International Shipping,Mt SO2/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|Sulfur|Peat Burning,Mt SO2/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|Sulfur|Residential Commercial Other,Mt SO2/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|Sulfur|Solvents Production and Application,Mt SO2/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|Sulfur|Transportation Sector,Mt SO2/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|Sulfur|Waste,Mt SO2/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|VOC|Agricultural Waste Burning,Mt VOC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|VOC|Agriculture,Mt VOC/yr,model_zero
REMIND-MAgPIE 3.5-4.11,all,World,Emissions|VOC|Aircraft,Mt VOC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|VOC|Energy Sector,Mt VOC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|VOC|Forest Burning,Mt VOC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|VOC|Grassland Burning,Mt VOC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|VOC|Industrial Sector,Mt VOC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,World,Emissions|VOC|International Shipping,Mt VOC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|VOC|Peat Burning,Mt VOC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|VOC|Residential Commercial Other,Mt VOC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|VOC|Solvents Production and Application,Mt VOC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|VOC|Transportation Sector,Mt VOC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|VOC|Waste,Mt VOC/yr,constant_ratio
