,name,hierarchy,countries,iso3
144,IMACLIM 2.0|Rest of Latin America,IMACLIM 2.0,"['Anguilla', 'Argentina', 'Bermuda', 'Bolivia', 'Cayman Islands', 'Chile', 'Colombia', 'Costa Rica', 'Dominican Republic', 'Ecuador', 'El Salvador', 'French Guiana', 'Guatemala', 'Haiti', 'Honduras', 'Mexico', 'Montserrat', 'Nicaragua', 'Panama', 'Paraguay', 'Peru', 'Puerto Rico', 'Suriname', 'Uruguay', 'Venezuela', 'Bahamas', 'Barbados', 'Belize', 'Dominica', 'Grenada', 'Guyana', 'Jamaica', 'Saint Kitts and Nevis', 'Saint Lucia', 'Saint Pierre and Miquelon', 'Saint Vincent and the Grenadines', 'Trinidad and Tobago', 'Turks and Caicos Islands', 'British Virgin Islands', 'United States Virgin Islands']","['AIA', 'ARG', 'BMU', 'BOL', 'CYM', 'CHL', 'COL', 'CRI', 'DOM', 'ECU', 'SLV', 'GUF', 'GTM', 'HTI', 'HND', 'MEX', 'MSR', 'NIC', 'PAN', 'PRY', 'PER', 'PRI', 'SUR', 'URY', 'VEN', 'BHS', 'BRB', 'BLZ', 'DMA', 'GRD', 'GUY', 'JAM', 'KNA', 'LCA', 'SPM', 'VCT', 'TTO', 'TCA', 'VGB', 'VIR']"
145,IMACLIM 2.0|Rest of Asia,IMACLIM 2.0,"['Afghanistan', 'Bangladesh', 'Bhutan', 'Brunei Darussalam', 'Cambodia', 'Indonesia', 'Kiribati', 'Laos', 'Malaysia', 'Maldives', 'Marshall Islands', 'Micronesia', 'Mongolia', 'Myanmar', 'Nauru', 'Nepal', 'Niue', 'Northern Mariana Islands', 'Pakistan', 'Palau', 'Papua New Guinea', 'Pitcairn', 'Philippines', 'Samoa', 'Singapore', 'Solomon Islands', 'Sri Lanka', 'Timor-Leste', 'Thailand', 'Tokelau', 'Tonga', 'Tuvalu', 'Vanuatu', 'Viet Nam', 'Hong Kong', 'Macao', 'Taiwan', 'Wallis and Futuna']","['AFG', 'BGD', 'BTN', 'BRN', 'KHM', 'IDN', 'KIR', 'LAO', 'MYS', 'MDV', 'MHL', 'FSM', 'MNG', 'MMR', 'NRU', 'NPL', 'NIU', 'MNP', 'PAK', 'PLW', 'PNG', 'PCN', 'PHL', 'WSM', 'SGP', 'SLB', 'LKA', 'TLS', 'THA', 'TKL', 'TON', 'TUV', 'VUT', 'VNM', 'HKG', 'MAC', 'TWN', 'WLF']"
146,IMACLIM 2.0|USA,IMACLIM 2.0,['United States'],['USA']
147,IMAGE 3.4|Brazil,IMAGE 3.4,['Brazil'],['BRA']
148,IMAGE 3.4|Canada,IMAGE 3.4,['Canada'],['CAN']
149,IMAGE 3.4|Central Europe,IMAGE 3.4,"['Albania', 'Bosnia and Herzegovina', 'Bulgaria', 'Croatia', 'Cyprus', 'Czechia', 'Estonia', 'Hungary', 'Latvia', 'Lithuania', 'North Macedonia', 'Poland', 'Romania', 'Serbia', 'Montenegro', 'Slovakia', 'Slovenia']","['ALB', 'BIH', 'BGR', 'HRV', 'CYP', 'CZE', 'EST', 'HUN', 'LVA', 'LTU', 'MKD', 'POL', 'ROU', 'SRB', 'MNE', 'SVK', 'SVN']"
150,IMAGE 3.4|China Region,IMAGE 3.4,"['China', 'Hong Kong', 'Macao', 'Mongolia', 'Taiwan']","['CHN', 'HKG', 'MAC', 'MNG', 'TWN']"
151,IMAGE 3.4|Eastern Africa,IMAGE 3.4,"['Burundi', 'Comoros', 'Djibouti', 'Eritrea', 'Ethiopia', 'Kenya', 'Madagascar', 'Mauritius', 'Réunion', 'Rwanda', 'Seychelles', 'Somalia', 'Sudan', 'Uganda']","['BDI', 'COM', 'DJI', 'ERI', 'ETH', 'KEN', 'MDG', 'MUS', 'REU', 'RWA', 'SYC', 'SOM', 'SDN', 'UGA']"
152,IMAGE 3.4|India,IMAGE 3.4,['India'],['IND']
153,IMAGE 3.4|Indonesia Region,IMAGE 3.4,"['Timor-Leste', 'Indonesia', 'Papua New Guinea']","['TLS', 'IDN', 'PNG']"
